None,ticker,date,close,volume
427,AMZN,2018-03-07,1545.0,4174123.0
428,AMZN,2018-03-06,1537.64,4561718.0
429,AMZN,2018-03-05,1523.61,5233934.0
430,AMZN,2018-03-02,1500.25,6587564.0
431,AMZN,2018-03-01,1493.45,6835230.0
432,AMZN,2018-02-28,1512.45,4426580.0
433,AMZN,2018-02-27,1511.98,4708378.0
434,AMZN,2018-02-26,1521.95,4909053.0
435,AMZN,2018-02-23,1500.0,4327008.0
436,AMZN,2018-02-22,1484.76,4732555.0
437,AMZN,2018-02-21,1482.92,6216694.0
438,AMZN,2018-02-20,1468.35,6388374.0
439,AMZN,2018-02-16,1448.69,4410879.0
440,AMZN,2018-02-15,1461.76,5598111.0
441,AMZN,2018-02-14,1451.05,5881238.0
442,AMZN,2018-02-13,1414.51,5858860.0
443,AMZN,2018-02-12,1386.23,6682214.0
444,AMZN,2018-02-09,1338.99,13787886.0
445,AMZN,2018-02-08,1350.47,8108560.0
446,AMZN,2018-02-07,1416.78,7066828.0
447,AMZN,2018-02-06,1442.84,10773963.0
448,AMZN,2018-02-05,1396.62,10756332.0
449,AMZN,2018-02-02,1431.0,10915962.0
450,AMZN,2018-02-01,1390.0,7812953.0
451,AMZN,2018-01-31,1451.65,6220396.0
452,AMZN,2018-01-30,1437.82,5736512.0
453,AMZN,2018-01-29,1417.68,5628992.0
454,AMZN,2018-01-26,1402.05,4584082.0
455,AMZN,2018-01-25,1377.95,4621862.0
456,AMZN,2018-01-24,1357.51,6730084.0
457,AMZN,2018-01-23,1362.54,5056764.0
458,AMZN,2018-01-22,1327.31,3970151.0
459,AMZN,2018-01-19,1294.58,4395070.0
460,AMZN,2018-01-18,1293.32,3941007.0
461,AMZN,2018-01-17,1295.0,5166748.0
462,AMZN,2018-01-16,1304.86,7111172.0
463,AMZN,2018-01-12,1305.2,5360681.0
464,AMZN,2018-01-11,1276.68,3075315.0
465,AMZN,2018-01-10,1254.33,2659507.0
466,AMZN,2018-01-09,1252.7,3646681.0
467,AMZN,2018-01-08,1246.87,4177533.0
468,AMZN,2018-01-05,1229.14,3430148.0
469,AMZN,2018-01-04,1209.59,3000366.0
470,AMZN,2018-01-03,1204.2,3044664.0
471,AMZN,2018-01-02,1189.01,2587899.0
